"id";"name";"slug";"url";"description";"logo";"badges";"created_at";"last_modified";"metric.datasets";"metric.members";"metric.reuses";"metric.followers";"metric.views"
"6406127f1d33afbbbe9367ec";"TUI Fly Belgium";"tui-fly-belgium";"http://www.data.gouv.fr/fr/organizations/tui-fly-belgium/";"Compangie Aérienne Belge, parti du TUI Group";"https://static.data.gouv.fr/avatars/26/20968c39254694af383df2d9d32345-100.jpg";"[]";"2023-03-06T17:19:10.993000";"2023-03-07T01:14:59.781000";2;1;0;0;0
"6405e9588a94b715e8f66773";"MAIRIE DE SAINT PREST";"mairie-de-saint-prest";"http://www.data.gouv.fr/fr/organizations/mairie-de-saint-prest/";"Mairie de Saint Prest
Commune d'Eure-et-Loir de 2157 habitants";"https://static.data.gouv.fr/avatars/35/1aa0f4a0c745628a3fc16869e7f092-100.png";"[]";"2023-03-06T14:23:36.307000";"2023-03-06T14:54:08.706000";0;1;0;0;0
"6405c37e0ca28e9aeca6fd99";"DATA\WAX - OSM2IGEO";"data-wax-osm2igeo";"http://www.data.gouv.fr/fr/organizations/data-wax-osm2igeo/";"**Données OpenStreetMap retraitées. (En phase de test).**

**Objectif du projet :** 
Utiliser la richesse des informations disponibles dans OpenStreetMap et les valoriser sous la forme d'une pseudo ""BDTOPO® | IGN"" afin qu'elles puissent facilement être exploitées dans une application SIG.";"https://static.data.gouv.fr/avatars/e7/880624f5914a78ab1121c317b3952b-100.png";"[]";"2023-03-06T11:42:06.102000";"2023-03-07T01:14:59.827000";1;1;0;0;0
"6405ba6af5455b8fd35a4fc9";"Agglomération Creil Sud Oise";"agglomeration-creil-sud-oise";"http://www.data.gouv.fr/fr/organizations/agglomeration-creil-sud-oise/";"A la fois urbain et rural, le territoire de l’ACSO offre des contrastes qui l’enrichissent. Aujourd’hui, l’ACSO compte 86 000 habitants.

La Communauté d’Agglomération Creil Sud Oise s’appuie sur deux éléments historiques forts :

> Son patrimoine industriel, vieux de plus de deux siècles, recensé dans un inventaire unique où l’on retrouve la patte de bâtisseurs tels Eiffel ou Perret.
> L’Histoire de la pierre et des carrières. Et au milieu de cela, nous retrouvons la rivière Oise, pierre angulaire pour le transport, pour l’économie du bassin creillois.";"https://static.data.gouv.fr/avatars/2a/95ea60a0c04a4cb523891dea5557d5-100.jpg";"[]";"2023-03-06T11:03:22.928000";"2023-03-07T01:14:59.882000";1;1;0;0;0
"6405b91ef1037080e71cbede";"Mairie de Portet sur Garonne";"mairie-de-portet-sur-garonne";"http://www.data.gouv.fr/fr/organizations/mairie-de-portet-sur-garonne/";"Administration publique";"https://static.data.gouv.fr/avatars/aa/207df7b9d04c3ea6934de9b94ee7dc-100.png";"[]";"2023-03-06T10:57:50.082000";"2023-03-06T11:01:41.560000";0;1;0;0;0
"6403a6571e324b175c21d180";"Backcarbone";"backcarbone";"http://www.data.gouv.fr/fr/organizations/backcarbone/";"Backcarbone est un opérateur français de compensation carbone à destination des entreprises et collectivités. Nous accompagnons les organisations dans leur stratégie de développement durable.";"https://static.data.gouv.fr/avatars/ed/5c5e55227f46ab88a7981e108d8dd5-100.jpeg";"[]";"2023-03-04T21:13:11.093000";"2023-03-04T21:15:06.780000";0;1;0;0;0
"6401ca76a960965267f9a2c3";"CONSEIL DEPARTEMENTAL DE LA HAUTE-VIENNE";"conseil-departemental-de-la-haute-vienne-1";"http://www.data.gouv.fr/fr/organizations/conseil-departemental-de-la-haute-vienne-1/";"Département de la Haute-Vienne";"https://static.data.gouv.fr/avatars/da/62652372e74e17890205e1e57594d6-100.jpg";"[]";"2023-03-03T11:22:46.246000";"2023-03-03T11:38:18.035000";0;1;0;0;0
"64003d028e23a32d6eb15cd1";"CONSEIL DÉPARTEMENTAL DE LA RÉUNION";"conseil-departemental-de-la-reunion";"http://www.data.gouv.fr/fr/organizations/conseil-departemental-de-la-reunion/";"Le Département est une collectivité territoriale administrée par le Conseil Départemental dont le.a Président.e représente l'exécutif.

Le Conseil Départemental est composé de l’ensemble des élus.es départementaux.

Il a son siège à l'Hôtel du Département au 2 rue de la Source à Saint-Denis.";"https://static.data.gouv.fr/avatars/f3/46aa2c676446f98f91008cb797c43f-100.jpg";"[]";"2023-03-02T07:06:58.947000";"2023-03-07T01:15:00.843000";1;1;0;0;0
"63ff2806ed4c68bcee5785e3";"COMMUNE DE NIEUL-SUR-MER";"commune-de-nieul-sur-mer";"http://www.data.gouv.fr/fr/organizations/commune-de-nieul-sur-mer/";"Le Bourg de Nieul-sur-Mer, situé à 8 km de La Rochelle dans un creux de terrain, irrigué par un petit cours d’eau « le Gô », isolé de la mer par les marais de Lauzières et des mottes, est assez marqué par son histoire.";"https://static.data.gouv.fr/avatars/f0/9c108667934b088b0ba8d051cfde2a-100.jpg";"[]";"2023-03-01T11:25:10.820000";"2023-03-01T11:25:32.730000";0;1;0;0;0
"63fe12701ab579e16b0cb998";"CAMPING LOISIRS LOCATION";"camping-loisirs-location";"http://www.data.gouv.fr/fr/organizations/camping-loisirs-location/";"Camping idéalement situé au Luc-en-Provence, à 4 kilomètres du centre-ville, Les Bruyères vous accueille toute l’année et vous propose la location d'emplacements pour tentes et caravanes. Venez séjourner dans un cadre convivial et goûter à la douceur de vivre méridionale en plein cœur de la Provence, à seulement 35 km de Saint-Tropez et 50 km des Gorges du Verdon et de Toulon.";"";"[]";"2023-02-28T15:40:48.402000";"2023-03-07T01:15:00.670000";1;1;0;0;0
