"name";"datasets";"reuses";"total"
"donnees-ouvertes";20145;8;20153
"passerelle-inspire";14992;0;14992
"geospatial";5905;8;5913
"usage-des-sols";5548;4;5552
"geoscientific-information";5170;1;5171
"planning-cadastre";4889;1;4890
"risque-zonages-risque-naturel";4510;0;4510
"environnement";2663;41;2704
"zones-a-risque-naturel";2487;0;2487
"grand-public";2268;1;2269
"localisation";2102;23;2125
"ortho";1835;0;1835
"orthophotographie";1795;2;1797
"casq";1771;0;1771
"photo";1740;1;1741
"budget";1706;20;1726
"prise-de-vues";1709;0;1709
"prise-de-vue";1706;0;1706
"carte";1483;217;1700
"1973";1698;0;1698
"france";1557;127;1684
"plu";1660;4;1664
"transport";1599;39;1638
"finances-publiques";1555;4;1559
"citoyennete";1547;6;1553
"urbanisme";1516;18;1534
"administration";1482;13;1495
"occupation-du-sol";1363;15;1378
"tourisme";1279;36;1315
"culture";1256;49;1305
"mobilite";1244;58;1302
"environment";1220;9;1229
"open-data";1136;28;1164
"economie";1097;55;1152
"amenagement-du-territoire";1124;7;1131
"pprn";1083;0;1083
"occupation-des-terres";1036;1;1037
"inondation";960;5;965
"territoire";947;16;963
"transports";936;22;958
"deliberation";956;1;957
"document-durbanisme";939;0;939
"elections";827;106;933
"commune";859;63;922
"logement";878;41;919
"zones-de-gestion-de-restriction-ou-de-reglementat";907;0;907
"donnee-ouverte";899;3;902
"patrimoine";810;19;829
"hauts-de-france";802;6;808
"election";758;48;806
"education";732;50;782
"gouvernement";772;9;781
"finances";751;29;780
"risque";771;2;773
"sport";696;70;766
"population";703;62;765
"equipements";732;15;747
"eau";717;21;738
"intercommunalite";727;3;730
"bretagne";672;52;724
"pas-de-calais";721;2;723
"nord";716;5;721
"geolocalisation";656;59;715
"sante";619;95;714
"emploi";668;42;710
"reseaux-de-transport";699;1;700
"unites-administratives";696;1;697
"batiments";690;5;695
"2019";680;4;684
"ppr";681;1;682
"insee";630;50;680
"deplacements";659;2;661
"citoyennete-institution";659;0;659
"donnees-publiques";649;4;653
"bus";621;30;651
"adresse";624;14;638
"geoportail";636;1;637
"somme";635;2;637
"base-adresse-locale";635;1;636
"hydrographie";619;6;625
"ortho-imagerie";620;1;621
"stationnement";608;9;617
"boundaries";611;1;612
"velo";550;62;612
"social";594;13;607
"alea-enjeux-inondation-amenagement-urbanisme-prescription-prevention-servitude-risque-multi-risque";596;0;596
"alea-enjeux-inondation-amenageme";596;0;596
"risques";587;3;590
"alsace";587;2;589
"ocs-ge2-grand-est";578;0;578
"agriculture";534;36;570
"oise";553;1;554
"amenagement";544;8;552
"communes";455;88;543
"gtfs";527;11;538
"risque-inondation";536;2;538
"aisne";533;1;534
"route";525;8;533
"formation";500;31;531
"epci";495;26;521
"alea-enjeux-inondation-amenagement-urbanis";514;0;514
"biodiversite";498;10;508
"adresses";497;9;506
"budget-primitif";498;2;500
"opendata";399;101;500
"lot-et-garonne";499;1;500
"demographie";451;47;498
"dechets";470;10;480
"enseignement";455;21;476
"developpement-economique";470;2;472
"equipement";461;10;471
"irve";463;7;470
"mutation";463;2;465
"bal";450;4;454
"voirie";441;11;452
"zonages-risque-naturel";450;0;450
"statistiques";405;44;449
"deplacement";446;2;448
"circulation";423;24;447
"transportation";438;3;441
